Id	Label	Degree
0	agreeable	3
1	man	14
2	old	33
3	person	9
4	anything	2
5	short	7
6	arm	6
7	round	11
8	aunt	1
9	first	17
10	bad	4
11	air	7
12	boy	10
13	beautiful	6
14	black	12
15	face	12
16	letter	3
17	little	49
18	young	14
19	best	9
20	course	5
21	friend	10
22	love	5
23	part	8
24	room	15
25	thing	14
26	time	11
27	way	15
28	better	13
29	heart	5
30	mind	6
31	place	12
32	right	10
33	state	5
34	woman	7
35	word	6
36	door	7
37	eye	10
38	bright	9
39	evening	5
40	morning	4
41	certain	8
42	day	7
43	other	28
44	child	7
45	happy	6
46	common	3
47	dark	5
48	kind	10
49	night	5
50	dear	15
51	good	28
52	home	7
53	mother	6
54	pretty	13
55	open	3
56	early	4
57	fire	3
58	full	2
59	great	13
60	master	5
61	moment	2
62	work	2
63	general	5
64	fancy	1
65	voice	6
66	head	7
67	hope	4
68	long	12
69	greater	2
70	hand	12
71	hard	6
72	red	7
73	life	7
74	glad	1
75	large	10
76	new	12
77	white	3
78	late	3
79	whole	13
80	light	8
81	manner	6
82	bed	1
83	house	5
84	low	6
85	money	2
86	ready	2
87	small	10
88	strange	6
89	thought	7
90	lost	1
91	alone	1
92	nothing	6
93	miserable	2
94	natural	3
95	half	1
96	wrong	3
97	name	1
98	pleasant	5
99	possible	2
100	side	3
101	perfect	2
102	poor	10
103	quiet	9
104	same	21
105	strong	7
106	something	6
107	true	2
108	usual	4
109	family	1
110	world	2
111	year	1
